Match," HomeOdds"," DrawOdds"," AwayOdds"," Prediction1"," Prediction2"," Prediction3"," Prediction4"," Prediction5"," Prediction6",Prediction7,Prediction8,Prediction9,Prediction10
Standard Liege Vs. KVC Westerlo,"2.70","3.40","2.50","1","2","X","X","1","X",2,1,X,1
Sporting Gijon Vs. Real Zaragoza,"2.23","3.00","3.35","1","1","X","2","1","2",1,X,X,1
Malaga CF Vs. Elche CF,"2.50","3.15","2.75","2","X","2","X","X","X",X,1,X,1
Torino Fc Vs. Lazio Rome,"2.80","3.20","2.75","2","X","X","1","1","X",1,2,2,X
Levante UD Vs. UD Almeria,"2.47","3.40","2.60","1","X","2","X","1","1",X,2,2,1
Como 1907 Vs. Hellas Verona,"2.21","3.35","3.45","X","2","1","1","2","1",2,X,2,2
Modena Fc Vs. Sampdoria Genoa,"2.25","3.10","3.10","2","2","2","1","1","X",X,1,1,X
Toulouse Fc Vs. Olympique Lyon,"2.46","3.50","2.85","1","2","2","1","2","1",X,2,X,2
Swansea City Vs. Bristol City,"2.36","3.60","2.85","2","2","2","2","1","2",1,X,X,1
FC Luzern Vs. FC Basel 1893,"2.39","3.40","2.70","X","X","2","X","2","2",X,1,X,1
Angers SCO Vs. Stade Reims,"3.30 ","3.35","2.27","2","X","2","1","2","1",2,2,1,2
Lillestroem SK Vs. Viking FK,"2.75","3.55","2.31","2","2","X","X","X","1",1,2,1,X
Manchester United Vs. Totenham Hotspur,"2.34","3.90","2.80","1","1","2","1","1","2",2,1,X,1
TSG Hoffenheim Vs. Werder Bremen,"2.37","3.65","2.90","2","2","X","X","X","1",1,2,X,1
Emploi Fc Vs. ACF Fiorentina,"3.40","3.35","2.23","X","2","X","1","1","2",2,1,2,2
Sandefiord Fotbal Vs. Rosenberg BK,"3.00","3.60","2.13","2","X","2","2","2","2",2,X,1,2
Atletico Madrid Vs. Real Madrid,"2.95","3.55","2.40","1","2","1","1","1","1",2,X,2,2
