File Number,Company Name,County,Region,Service Category Name,Email,Phone No
TRA3/3/B01/20841,IL LABORATORIO PIZZA AL TRANCIO,Kilifi,Malindi,Restaurants,ndukubeatrice03@gmail.com,791506598
TRA3/3/B01/21111,LE TRE ROSE LIMITED,Kilifi,Malindi,Restaurants,letrerose2023@gmail.com,723587210
TRA1/47/B01/21731,ATLANTIC HOTEL NAIROBI,Nairobi,Nairobi,Restaurants,simonmuga06@gmail.com,717292956
TRA1/47/B01/1,HOSPITALITY FOODS PVT LTD ( THE MAYURA) WESTLANDS,Nairobi,Nairobi,Restaurants,hospitalityfoods@gmail.com,25473100006
TRA1/47/B01/6,MAMA ASHANTI LTD,Nairobi,Nairobi,Restaurants,managerlavington@mamaashanti.co.ke,720307332
TRA1/47/B01/21928,MEPHIS FISH & CHIPS,Nairobi,Nairobi,Restaurants,simon.mugaa06@gmail.com,717292956
TRA1/47/B01/21956,JAVA PARKLANDS,Nairobi,Nairobi,Restaurants,sanya.videlis@yahoo.com,726229382
TRA1/47/B01/21958,PLANET YOGHURT GARDEN CITY,Nairobi,Nairobi,Restaurants,"videlis.sanya@javahouseafrica.com; ",0
TRA1/47/B01/98,HARU RESTAURANT LTD,Nairobi,Nairobi,Restaurants,harukenya@hotmail.com,700318878
TRA1/47/B01/100,HIGH PORT MERCHANTS LTD,Nairobi,Nairobi,Restaurants,accounts@primecuts.co.ke,708555444
TRA1/47/B01/114,AIRPORT VIEW MOTEL,Nairobi,Nairobi,Restaurants,0,NULL
TRA1/47/B01/127,RANDA DISHES LTD,Nairobi,Nairobi,Restaurants,randadishes@gmail.com,2.54704E+11
TRA1/47/B01/132,BURGER KING RESTAURANT (NEXT GEN MALL),Nairobi,Nairobi,Restaurants,priscilla.karanja@servair.co.ke,720211749
TRA1/47/B01/133,BURGER KING RESTAURANT (KAREN),Nairobi,Nairobi,Restaurants,esther.karongo@servair.co.ke,738930306
TRA1/47/B01/135,BURGER KING RESTAURANT (TWO RIVERS MALL),Nairobi,Nairobi,Restaurants,esther.karongo@servair.co.ke,738930306
TRA1/47/B01/145,ASMARA ENTERTAINMENT LTD,Nairobi,Nairobi,Restaurants,accounts@asmara.co.ke,727466263
TRA1/47/B01/157,ASMARA ENTERTAINMENT (JUJA),Nairobi,Nairobi,Restaurants,accounts@asmara.co.ke,72746263
TRA1/47/B01/158,ASMARA ENTERTAINMENT (WESTLANDS),Nairobi,Nairobi,Restaurants,micheal_yohannes@asmara.co.ke,727466263
TRA1/47/B01/176,CHOWPARTY FAST FOODS LTD,Nairobi,Nairobi,Restaurants,info@chowpatyrestaurants.com,722999995
TRA1/47/B01/177,RED ROBIN RESTAURANT,Nairobi,Nairobi,Restaurants,robinfastfoods@gmail.com,720233185
TRA1/47/B01/178,CHOWPATY DELUXE LTD,Nairobi,Nairobi,Restaurants,chowpatydeluxe@gmail.com,701123123
TRA1/47/B01/187,AFRI VENTURES INTERNATIONAL LTD,Nairobi,Nairobi,Restaurants,0,25471625032
TRA1/47/B01/201,MISONO RESTAURANT LTD,Nairobi,Nairobi,Restaurants,restaurantmisono@gmail.com,722511229
TRA1/47/B01/207,HAANDI TWENTY FOUR (CARATS LTD),Nairobi,Nairobi,Restaurants,haandi@haandi-kenya.com,737518780
TRA1/47/B01/22125,MONTANA FISH & CHIPS,Nairobi,Nairobi,Restaurants,simon.mugaa06@gmail.com,717292956
TRA1/47/B01/231,VIEWS COFFEE HOUSE LTD,Nairobi,Nairobi,Restaurants,aminview@gmail.com,791677655
TRA1/47/B01/235,ROAST BY CARNIVORE,Nairobi,Nairobi,Restaurants,assistant.hr@tamarind.co.ke,727604401
TRA1/47/B01/237,KENGELES LAVINGTON GREEN,Nairobi,Nairobi,Restaurants,victorochieng740@gmail.com,727604401
TRA1/47/B01/22151,ARIZONA FISH & CHIPS,Nairobi,Nairobi,Restaurants,simon.mugaa06@gmail.com,717292956
TRA1/47/B01/249,SUPER KILIMANJARO ENTERPRISE LTD,Nairobi,Nairobi,Restaurants,ltd.supet@yahoo.com,2.54728E+11
TRA1/47/B01/272,BOSPHOROUS COMPANY LTD (PIZZA PITTA),Nairobi,Nairobi,Restaurants,ltdbosphorus@gmail.com,727803973
TRA1/47/B01/275,REGENCY SLOTS LIMITED,Nairobi,Nairobi,Restaurants,info@skycitycasino.co.ke,722501342
TRA1/47/B01/296,TRATTORIA LTD,Nairobi,Nairobi,Restaurants,trattoria.kenya@gmail.com,722513675
TRA1/47/B01/313,CLAY OVEN LIMITED,Nairobi,Nairobi,Restaurants,marketing@clayoven.co.ke,25479073063
TRA1/47/B01/358,VALLEY RESTAURANT LTD,Nairobi,Nairobi,Restaurants,valleycoffee2018@gmail.com,728888501
TRA1/47/B01/368,DOUBLE DRAGON CHINESE RESTAURANT,Nairobi,Nairobi,Restaurants,ni0zhengye@gmail.com,722739143
TRA1/47/B01/388,SAFARI BAR & SNACKS,Nairobi,Nairobi,Restaurants,customerservice@servair.co.ke,2.54722E+11
TRA1/47/B01/390,KWAHERI UNIT II- PUB,Nairobi,Nairobi,Restaurants,customerservice@servair.co.ke,722205287
TRA1/47/B01/398,SANTA FE FISH & CHIPS,Nairobi,Nairobi,Restaurants,simon.mugaa06@gmail.com,717292956
TRA1/47/B01/399,SANTA BARBARA FISH & CHIPS,Nairobi,Nairobi,Restaurants,simon.mugaa06@gmail.com,717292956
TRA1/47/B01/405,GAUCHOS LTD (RESTAURANT),Nairobi,Nairobi,Restaurants,fogogauchoaccts@gmail.com,708712255
TRA1/47/B01/413,CHICAGO THE PIZZA PLACE LTD,Nairobi,Nairobi,Restaurants,chicagopizzaplace@gmail.com,733609193
TRA1/47/B01/425,ARTCAFFE COFFEE & BAKERY LIMITED-CHESTER HOUSE,Nairobi,Nairobi,Restaurants,kristyn.akinyi@artcaffe.co.ke,709276000
TRA1/47/B01/432,HORI ENTERTAINMENT LTD,Nairobi,Nairobi,Restaurants,wawerukinyanjui@gmail.com,704777111
TRA1/47/B01/436,"ARTCAFFÉ COFFEE & BAKERY LIMITED-GARDEN CITY ",Nairobi,Nairobi,Restaurants,"sagi.vaknin@artcaffe.co,ke",709276000
TRA1/47/B01/438,ARTCAFFE COFFEE & BAKERY LIMITED-(URBAN GOURMET BURGERS) GALLERIA,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/439,ARTCAFFÉ COFFEE & BAKERY LIMITED-JUNCTION MALL,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/440,ARTCAFFÉ COFFEE & BAKERY LIMITED-TRM MALL,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/441,ARTCAFFÉ COFFEE & BAKERY LIMITED-LAVINGTON,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
TRA1/47/B01/442,ARTCAFFÉ COFFEE & BAKERY LIMITED-THE HUB,Nairobi,Nairobi,Restaurants,sagi.vaknin@artcaffe.co.ke,709276000
