File Number,Company Name,,County,Regional Office,Service Category Name,Email,Phone
TRA1/47/C04/20434,Memail Global Travel Service Ltd,,Nairobi,Nairobi,Travel Agency  (Ticketing),sales@memailgroup.com,707464405
TRA2/1/C01/20456,Sote Travels Limited,,Mombasa,Mombasa,Tour or safari operators,ogigadavid@gmail.com,721474286
TRA1/47/C04/20476,NITESLA TRANSPORT SERVICES LTD,,Nairobi,Nairobi,Travel Agency  (Ticketing),niteslatransport@gmail.com,722888679
TRA1/47/C01/20542,Cysuites Travel LLP,,Nairobi,Nairobi,Tour or safari operators,travel@cysuites.com,707607988
TRA1/22/C01/20543,HOMEJOY SAFARI ADVENTURESLIMITED,,Kiambu,Nairobi,Tour or safari operators,kenyasafaris4@gmail.com,796475366
TRA2/1/C01/20552,ARMAAN TOURS & SAFARIS LTD,,Mombasa,Mombasa,Tour or safari operators,ARMAANKENYA@GMAIL.COM,711444006
TRA1/47/C01/20573,"TOUR KENYA SPIRAL & ADVENTURE ",,Nairobi,Nairobi,Tour or safari operators,tourkenyaspiraladventure@gmail.com,729934209
TRA1/22/C01/20583,Damian Wild Safaris Ltd,,Kiambu,Nairobi,Tour or safari operators,samuel@damianwildsafaris.com,723629550
TRA1/47/C01/20600,Rhythms of Nature Ltd,,Nairobi,Nairobi,Tour or safari operators,akash@rhythmsofnature.co,722866779
TRA1/22/C01/20607,ILTRAMONTO DEL AFRICA TOURS AND SAFARIS LIMITED,,Kiambu,Nairobi,Tour or safari operators,iltramontodelafrica@gmail.com,789012671
TRA1/47/C01/20624,NASHIBE ADVENTURES,,Nairobi,Nairobi,Tour or safari operators,nashibeadventures@gmail.com,705696578
TRA1/47/C04/20639,ALDERLEY TOURS & TRAVEL LIMITED,,Nairobi,Nairobi,Travel Agency  (Ticketing),ngendogachichio@gmail.com,726919519
TRA1/47/C01/20659,LIGERRTRAVEL SAFARIS LTD,,Nairobi,Nairobi,Tour or safari operators,INFO@LIGERSAFARIS.CO.KE,725026209
TRA1/47/C01/20669,TRAVEL CONSULTANTS NETWORK LIMITED,,Nairobi,Nairobi,Tour or safari operators,travelconsultantsnetwork@outlook.com,720413180
TRA1/47/C01/20670,"Global ExpeditionsLtd ",,Nairobi,Nairobi,Tour or safari operators,info@globalexpeditionsandsafaris.com,711115046
TRA3/3/C01/20671,STABLEJEFFS LIMITED,,Kilifi,Malindi,Tour or safari operators,stablejeffdrones@gmail.com,720480389
